"filename", "language", "JSON", "XML", "Java", "comment", "blank", "total"
"e:\Android Project's\ChatVista\app\src\main\res\drawable\main_logo_2.xml", "XML", 0, 8, 0, 0, 8, 16
"e:\Android Project's\ChatVista\app\src\main\res\drawable\main_logo_3.xml", "XML", 0, 8, 0, 0, 8, 16
"e:\Android Project's\ChatVista\app\src\main\res\drawable\menu_24px.xml", "XML", 0, 9, 0, 0, 1, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\message_count_background.xml", "XML", 0, 8, 0, 0, 0, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\next_btn_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\otp_background.xml", "XML", 0, 6, 0, 0, 0, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\phone.xml", "XML", 0, 8, 0, 0, 1, 9
"e:\Android Project's\ChatVista\app\src\main\res\drawable\phone_input_background.xml", "XML", 0, 10, 0, 0, 0, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\plus_circle.xml", "XML", 0, 4, 0, 0, 4, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\profile_image_background.xml", "XML", 0, 8, 0, 0, 0, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\progress_bar_drawable.xml", "XML", 0, 16, 0, 0, 1, 17
"e:\Android Project's\ChatVista\app\src\main\res\drawable\receiver_message_background.xml", "XML", 0, 21, 0, 0, 1, 22
"e:\Android Project's\ChatVista\app\src\main\res\drawable\reject_img.xml", "XML", 0, 4, 0, 0, 4, 8
"e:\Android Project's\ChatVista\app\src\main\res\drawable\search_icon.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\send.xml", "XML", 0, 5, 0, 0, 1, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\sender_message_background.xml", "XML", 0, 20, 0, 0, 0, 20
"e:\Android Project's\ChatVista\app\src\main\res\drawable\share_24px.xml", "XML", 0, 3, 0, 0, 3, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\status_progressbar_background.xml", "XML", 0, 16, 0, 0, 1, 17
"e:\Android Project's\ChatVista\app\src\main\res\drawable\user_image_with_black_background.xml", "XML", 0, 9, 0, 0, 1, 10
"e:\Android Project's\ChatVista\app\src\main\res\drawable\verification.xml", "XML", 0, 16, 0, 0, 1, 17
"e:\Android Project's\ChatVista\app\src\main\res\drawable\verification_background.xml", "XML", 0, 6, 0, 0, 0, 6
"e:\Android Project's\ChatVista\app\src\main\res\drawable\video_outline.xml", "XML", 0, 7, 0, 0, 1, 8
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_forgot_password.xml", "XML", 0, 81, 0, 0, 5, 86
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_individual_chat.xml", "XML", 0, 139, 0, 0, 14, 153
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_main.xml", "XML", 0, 23, 0, 0, 1, 24
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_otp_verify.xml", "XML", 0, 195, 0, 0, 15, 210
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_phone_log_in.xml", "XML", 0, 112, 0, 0, 7, 119
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_search_user.xml", "XML", 0, 67, 0, 0, 0, 67
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_sign_in.xml", "XML", 0, 232, 0, 0, 19, 251
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_sign_up.xml", "XML", 0, 224, 0, 0, 22, 246
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_single_chat.xml", "XML", 0, 139, 0, 0, 14, 153
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_splash.xml", "XML", 0, 31, 0, 0, 2, 33
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_status_view.xml", "XML", 0, 87, 0, 0, 5, 92
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_user_chat_profile.xml", "XML", 0, 8, 0, 0, 1, 9
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_user_name.xml", "XML", 0, 153, 0, 12, 18, 183
"e:\Android Project's\ChatVista\app\src\main\res\layout\activity_user_profile_detail.xml", "XML", 0, 214, 0, 0, 22, 236
"e:\Android Project's\ChatVista\app\src\main\res\layout\adepter_sample_receiver_layout.xml", "XML", 0, 48, 0, 0, 3, 51
"e:\Android Project's\ChatVista\app\src\main\res\layout\adepter_sample_sender_layout.xml", "XML", 0, 57, 0, 0, 4, 61
"e:\Android Project's\ChatVista\app\src\main\res\layout\custom_toast_layout.xml", "XML", 0, 29, 0, 0, 1, 30
"e:\Android Project's\ChatVista\app\src\main\res\layout\fragment_calls_list.xml", "XML", 0, 13, 0, 1, 2, 16
"e:\Android Project's\ChatVista\app\src\main\res\layout\fragment_chat_list.xml", "XML", 0, 11, 0, 0, 2, 13
"e:\Android Project's\ChatVista\app\src\main\res\layout\fragment_status_list.xml", "XML", 0, 23, 0, 0, 1, 24
"e:\Android Project's\ChatVista\app\src\main\res\layout\profile_picture_view.xml", "XML", 0, 17, 0, 0, 1, 18
"e:\Android Project's\ChatVista\app\src\main\res\layout\search_recycler_sample_layout.xml", "XML", 0, 40, 0, 0, 3, 43
"e:\Android Project's\ChatVista\app\src\main\res\layout\status_sample_raw_layout.xml", "XML", 0, 42, 0, 0, 1, 43
"e:\Android Project's\ChatVista\app\src\main\res\layout\user_list_sample_layout.xml", "XML", 0, 63, 0, 0, 5, 68
"e:\Android Project's\ChatVista\app\src\main\res\menu\main_menu.xml", "XML", 0, 11, 0, 0, 1, 12
"e:\Android Project's\ChatVista\app\src\main\res\mipmap-anydpi\ic_launcher.xml", "XML", 0, 6, 0, 0, 0, 6
"e:\Android Project's\ChatVista\app\src\main\res\mipmap-anydpi\ic_launcher_round.xml", "XML", 0, 6, 0, 0, 0, 6
"e:\Android Project's\ChatVista\app\src\main\res\values-night\themes.xml", "XML", 0, 4, 0, 3, 0, 7
"e:\Android Project's\ChatVista\app\src\main\res\values\colors.xml", "XML", 0, 25, 0, 0, 0, 25
"e:\Android Project's\ChatVista\app\src\main\res\values\strings.xml", "XML", 0, 52, 0, 1, 0, 53
"e:\Android Project's\ChatVista\app\src\main\res\values\themes.xml", "XML", 0, 22, 0, 4, 1, 27
"e:\Android Project's\ChatVista\app\src\main\res\xml\backup_rules.xml", "XML", 0, 3, 0, 10, 0, 13
"e:\Android Project's\ChatVista\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 5, 0, 14, 0, 19
"e:\Android Project's\ChatVista\app\src\test\java\com\gojiyajayesh\chatvista\ExampleUnitTest.java", "Java", 0, 0, 9, 5, 3, 17
"Total", "-", 48, 2805, 2587, 116, 616, 6172
